CONTENT TEAM Information  for NBA GENERIC Media Delivery,,SYNC COMPLETE,NO ERRORS,,FUSE PROGRAMMER,,,PROGRAMMING IN PROGRESS,,,HUD,,,,RETURN TO INDEX,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY,LOOK IDENTIFIER #,File Name,File Version,Notes,Version,Bank,Slot ,Mapping #,"Mapping 
Code",File Length,Play Mode,Error Flag,Loop Out Frame,Notes to Kerstin,General/Show Call Notes,Upversioned Date,Folder,Look,File Path,Error Flag,Format,Codec_ID,Duration,Bit Rate,Width,Height,Aspect Ratio,Frame Rate Mode,Frame Rate,Stream Size,"Audio For,at",Audio Format/Settings,Audio Codec ID,Audio Duration,Audio Channels,Audio Channel Layout,Audio Sampling Rate,Audio Bit Depth
,07_HOU_DAL,074_DAL_WINS_RIB_F_v01.mov,1,,,241,074,010,RIB_F,10s,,-,,,,7/23/2020 9:01:35,241_NBA_TTC_1B,07_HOU_DAL,\241_NBA_TTC_1B\07_HOU_DAL\074_DAL_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,249316509,9504,144,66.000,CFR,29.970,311960670,-,-,-,-,-,-,-,-
,,077_TAP_TO_CHEER_CRN_v02.mov,2,,,241,077,014,CRN,10s,,-,,,,7/23/2020 9:01:37,241_NBA_TTC_1B,07_HOU_DAL,\241_NBA_TTC_1B\07_HOU_DAL\077_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,08_MIA_DEN,084_DEN_WINS_RIB_F_v01.mov,1,,,241,084,010,RIB_F,10s,,-,,,,7/23/2020 9:01:52,241_NBA_TTC_1B,08_MIA_DEN,\241_NBA_TTC_1B\08_MIA_DEN\084_DEN_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,252285734,9504,144,66.000,CFR,29.970,315675916,-,-,-,-,-,-,-,-
,,087_TAP_TO_CHEER_CRN_v02.mov,2,,,241,087,014,CRN,10s,,-,,,,7/23/2020 9:01:55,241_NBA_TTC_1B,08_MIA_DEN,\241_NBA_TTC_1B\08_MIA_DEN\087_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,09_UTA_OKC,094_OKC_WINS_RIB_F_v01.mov,1,,,241,094,010,RIB_F,10s,,-,,,,,241_NBA_TTC_1B,09_UTA_OKC,\241_NBA_TTC_1B\09_UTA_OKC\094_OKC_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,254095159,9504,144,66.000,CFR,29.970,317939962,-,-,-,-,-,-,-,-
,,097_TAP_TO_CHEER_CRN_v02.mov,2,,,241,097,014,CRN,10s,,-,,,,7/23/2020 9:01:59,241_NBA_TTC_1B,09_UTA_OKC,\241_NBA_TTC_1B\09_UTA_OKC\097_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,10_NOP_LAC,104_LAC_WINS_RIB_F_v01.mov,1,,,241,104,010,RIB_F,10s,,-C,,,,,241_NBA_TTC_1B,10_NOP_LAC,\241_NBA_TTC_1B\10_NOP_LAC\104_LAC_WINS_RIB_F_v01.mov,-C,RLE,rle ,10010,895468758,9504,144,66.000,CFR,29.970,1121504984,-,-,-,-,-,-,-,-
,,107_TAP_TO_CHEER_CRN_v02.mov,2,,,241,107,014,CRN,10s,,-,,,,,241_NBA_TTC_1B,10_NOP_LAC,\241_NBA_TTC_1B\10_NOP_LAC\107_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
,11_PHI_IND,114_IND_WINS_RIB_F_v01.mov,1,,,241,114,010,RIB_F,10s,,-,,,,7/23/2020 9:02:02,241_NBA_TTC_1B,11_PHI_IND,\241_NBA_TTC_1B\11_PHI_IND\114_IND_WINS_RIB_F_v01.mov,-,nclc,nclc,10010,275759646,9504,144,66.000,CFR,29.970,345047678,-,-,-,-,-,-,-,-
,,117_TAP_TO_CHEER_CRN_v02.mov,2,,,241,117,014,CRN,10s,,-,,,,,241_NBA_TTC_1B,11_PHI_IND,\241_NBA_TTC_1B\11_PHI_IND\117_TAP_TO_CHEER_CRN_v02.mov,-,nclc,nclc,10010,7797687,3328,208,16.000,CFR,29.970,9758829,-,-,-,-,-,-,-,-
